"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Ledger Live Cardano Integration Maintenance","447","₳273,956,602","₳37,879,673","YES","₳100,000","FUNDED","₳4,049,852",""
"CoSponsor by Sundae Labs: A Community Crowdfunding Tool for Proposal Submission","379","₳262,383,056","₳38,478,816","YES","₳100,000","FUNDED","₳3,949,852",""
"Handshake decentralized DNS blockchain integration with cDNSd by Blink Labs","340","₳262,304,900","₳22,716,085","YES","₳130,500","FUNDED","₳3,819,352",""
"Open-Source Datum Explorer: Decode, Understand, Build","223","₳259,461,828","₳23,049,627","YES","₳200,000","FUNDED","₳3,619,352",""
"Powers of Tau: Cardano Zero-Knowledge Setup Ceremony event | Encoins <> Modulo-p","277","₳258,873,363","₳31,099,647","YES","₳87,141","FUNDED","₳3,532,211",""
"Full-feature open-source NFT Web Forge","226","₳254,297,023","₳38,900,323","YES","₳180,000","FUNDED","₳3,352,211",""
"Unlock Apollo’s Potential: Join & Build Cardano’s Golang Library","249","₳247,815,397","₳19,827,490","YES","₳200,000","FUNDED","₳3,152,211",""
"Elixir implementation of Ouroboros networking","221","₳246,910,184","₳38,680,623","YES","₳90,000","FUNDED","₳3,062,211",""
"Integrating Hydra Scaling into Cardano Kuber Library","305","₳244,449,205","₳31,163,680","YES","₳100,000","FUNDED","₳2,962,211",""
"Koios Rust Client Library","233","₳241,886,883","₳47,771,565","YES","₳37,000","FUNDED","₳2,925,211",""
"Cloud Native Blockchain Archive Node by Blink Labs","319","₳240,284,982","₳44,235,004","YES","₳118,660","FUNDED","₳2,806,551",""
"Decentralized Domain Name System (DNS) Marketplace powered by Cardano and Handshake blockchains","369","₳239,790,381","₳34,340,876","YES","₳200,000","FUNDED","₳2,606,551",""
"PyCardano Evolution: Embracing the Chang Hardfork","275","₳235,034,783","₳46,750,736","YES","₳200,000","FUNDED","₳2,406,551",""
"zkFetch: Integrating zkTLS-Powered Oracle Solution for Cardano","246","₳229,616,102","₳24,527,223","YES","₳163,000","FUNDED","₳2,243,551",""
"Extend Open-Source Yoroi wallet to support seamless mobile Cardano dApp integration","238","₳226,607,121","₳27,384,327","YES","₳50,000","FUNDED","₳2,193,551",""
"Dandelion-lite: Decentralized nodes for dummies for GameChanger, Gimbalabs, Roundtable and devs","285","₳221,532,178","₳33,462,947","YES","₳199,000","FUNDED","₳1,994,551",""
"[HTLABS] 5 Project templates combining blockchain and internet of things","209","₳220,302,617","₳44,299,765","YES","₳35,857","FUNDED","₳1,958,694",""
"Cardano EasyDev VS Tool","197","₳215,844,749","₳24,589,108","YES","₳70,000","FUNDED","₳1,888,694",""
"[LANTR] Scalus: Multiplatform Tx Builder – same code for front&backend","223","₳214,885,579","₳36,061,353","YES","₳100,000","FUNDED","₳1,788,694",""
"SAIB: Buriza.Desktop - A Secure, Dedicated Desktop App for Buriza Wallet","207","₳202,474,159","₳31,124,264","YES","₳90,000","FUNDED","₳1,698,694",""
"Cardano Ambassador Tools","202","₳200,293,393","₳35,571,274","YES","₳110,000","FUNDED","₳1,588,694",""
"Verifiable Data Registry for Identus in Cardano","195","₳199,545,178","₳37,104,293","YES","₳200,000","FUNDED","₳1,388,694",""
"Ephemeral Cardano DevNets by TxPipe","426","₳199,268,200","₳19,649,496","YES","₳197,143","FUNDED","₳1,191,551",""
"SAIB: Buriza.Mobile - A Secure, On-the-Go Mobile Cardano Wallet","196","₳196,380,539","₳47,257,534","YES","₳90,000","FUNDED","₳1,101,551",""
"[BBO] Virtual Assistant GovernCardanoBot = AI + Telegram - A tool to help you better understand Cardano Governance","244","₳196,197,558","₳36,140,804","YES","₳66,250","FUNDED","₳1,035,301",""
"cPoker DRED development","186","₳195,971,876","₳34,549,362","YES","₳102,000","FUNDED","₳933,301",""
"SAIB: Buriza.Browser - A Dedicated Built-in Browser for the Buriza Wallet","190","₳195,664,723","₳51,585,771","YES","₳90,000","FUNDED","₳843,301",""
"Cardano Partnerchain SuperNode by TxPipe","460","₳193,541,963","₳33,428,811","YES","₳198,713","FUNDED","₳644,588",""
"CShell by TxPipe: A Cardano wallet in your terminal","428","₳188,090,894","₳35,719,114","YES","₳197,143","FUNDED","₳447,445",""
"Cardano Partnerchain Reference Implementation by TxPipe","434","₳182,332,073","₳27,993,366","YES","₳197,143","FUNDED","₳250,302",""
"Lucid Evolution 2.0 - Private Testnet SDK & L2 Provider Integration","342","₳174,075,598","₳51,018,080","YES","₳200,000","FUNDED","₳50,302",""
"Hydra-Enabled On-Chain Subscriptions & Pay-As-You-Go Micropayments: Open-Source Library for Cardano","387","₳154,762,983","₳39,903,927","YES","₳140,000","NOT FUNDED","₳50,302","Over Budget"
"Open-source Plutus v3 DAO Smart-contract","423","₳146,888,365","₳38,290,419","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"Lucid Evolution 2.0 - Dependency Injection & cardano-js-sdk Integration","373","₳145,168,456","₳35,473,288","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"DRep Integration by $handle.","516","₳136,145,197","₳60,964,365","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"Open-Source Cardano Native Token Staking Smart-Contract for ALL","415","₳136,099,718","₳48,072,193","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"Extend Open-Source One-Click Wallet to support mass actions","391","₳134,983,125","₳20,269,246","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"Genesis: Open-Source Multi-Sig Wallet","283","₳132,741,711","₳41,431,716","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"Hydra in Action: HOSKY Treat - A Hydra-Based Tipping Bot","562","₳132,134,293","₳36,224,149","YES","₳199,900","NOT FUNDED","₳50,302","Over Budget"
"Open-source Staking Basket v3 Smart-Contract Upgrade w/ Multi-dRep Delegation","406","₳130,193,101","₳49,443,789","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"VESPR: Any-Payment Mobile Deep Link and SDK 🌐 | Streamlining Cross-Application Requests","473","₳127,210,560","₳19,216,139","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"SmartCodeVerifier: Automated Formal Verification Tool for Smart Contract Code","370","₳123,703,737","₳34,568,846","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"SIDAN - Cardano Devkit - Blueprint Parser & VSCode Plugin","305","₳123,010,370","₳44,638,798","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"Decentralized Governance Smart Contracts: A User-Controlled Future","275","₳121,322,588","₳28,944,837","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"PROTOFIRE - Cardano Cross-Chain Interoperability Protocol Integration","364","₳119,144,254","₳23,600,321","YES","₳185,570","NOT FUNDED","₳50,302","Over Budget"
"Coxylib.js - Simplifying Cardano DApp Development","418","₳115,721,733","₳18,516,915","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"Githoney by TxPipe: Good-First-Issue Program","398","₳115,165,598","₳32,603,862","YES","₳199,943","NOT FUNDED","₳50,302","Over Budget"
"Cardano SDK for Mobile dApp Development","312","₳113,609,980","₳21,223,650","YES","₳198,000","NOT FUNDED","₳50,302","Over Budget"
"[VTC] ADAcommerce: RWAs E-commerce solution for businesses on Cardano","318","₳112,756,809","₳31,816,710","YES","₳184,750","NOT FUNDED","₳50,302","Over Budget"
"Plutus V3 for OpShin","350","₳109,204,943","₳18,383,378","YES","₳100,000","NOT FUNDED","₳50,302","Over Budget"
"VESPR - Open-Source YubiKey Hardware Wallet SDK 🔐 | Affordable Security for Cardano Users 👫","490","₳100,856,518","₳60,191,437","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"Marlowe 2025: Developer-Driven Platform Enhancements","281","₳99,259,219","₳12,197,914","YES","₳187,500","NOT FUNDED","₳50,302","Over Budget"
"Midnight-enabled ZK-Identity (zkID) protocol for DeFi, Governance, Healthcare, etc. [open Source]","389","₳96,688,015","₳27,808,066","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"End-to-End DApp Templates: 10 Smart Contracts, Aiken, Mesh, Auth, DB, UI by Edda Labs","297","₳95,064,840","₳15,274,848","YES","₳191,813","NOT FUNDED","₳50,302","Over Budget"
"SIDAN - DRep Governance Tooling powered by Mesh","286","₳93,338,395","₳56,702,322","YES","₳200,000","NOT FUNDED","₳50,302","Over Budget"
"Cardano Component UI Library [by Lido Nation]","278","₳92,748,975","₳16,817,744","YES","₳160,000","NOT FUNDED","₳50,302","Over Budget"
"Enterprise OS: Cardano + Hydra for Onboarding Institutions & Enterprises with No-Code/Low-Code","409","₳91,884,603","₳25,023,111","YES","₳145,000","NOT FUNDED","₳50,302","Over Budget"
"GeroWallet - Open Sourcing GeroWallet","315","₳90,839,834","₳33,924,550","YES","₳50,000","FUNDED","₳302",""
"Protofire - Developer Studio v2","365","₳90,504,473","₳41,481,692","YES","₳200,000","NOT FUNDED","₳302","Over Budget"
"C# Package for PRISM DIDs and Credential Signatures","273","₳90,283,987","₳20,271,958","YES","₳75,000","NOT FUNDED","₳302","Over Budget"
"CARO: Cardano Dev Studio - Desktop GUI for Cardano CLI","251","₳84,346,888","₳15,905,927","YES","₳75,000","NOT FUNDED","₳302","Over Budget"
"Open Source Arbitrage Bot: Leverage Price Discrepancies Across Cardano DEXs","263","₳84,194,484","₳53,833,524","YES","₳199,000","NOT FUNDED","₳302","Over Budget"
"[Tempo] Empowering Delegation: Comprehensive DRep Profiles for ADA Holders","250","₳83,323,088","₳29,599,628","YES","₳52,000","NOT FUNDED","₳302","Over Budget"
"Yepple - CIP-68 Token Creation SDK to Fuel DeFi & DePIN","341","₳82,772,765","₳16,980,587","YES","₳70,000","NOT FUNDED","₳302","Over Budget"
"Partnerchain Migration Tool: Solana Permissioned Env & Avalanche Subnets to Cardano Partner Chains","250","₳82,741,259","₳11,024,987","YES","₳135,000","NOT FUNDED","₳302","Over Budget"
"Zig SDK for Cardano: A New Developer Tool","221","₳82,155,150","₳26,029,527","YES","₳168,000","NOT FUNDED","₳302","Over Budget"
"Zero-Knowledge Proofs (ZKP) SDK for Privacy in Cardano","349","₳81,449,864","₳48,245,238","YES","₳200,000","NOT FUNDED","₳302","Over Budget"
"Anvil - Open Source - Universal Wallet Connector (Weld) for Unity, Godot, and Game Maker","323","₳79,834,972","₳35,994,677","YES","₳149,000","NOT FUNDED","₳302","Over Budget"
"AI-Powered Cardano Ecosystem Dashboard","305","₳77,618,549","₳27,075,054","YES","₳80,000","NOT FUNDED","₳302","Over Budget"
"Next-Gen Cardano Explorer: Advanced Cardano Smart Contract Analytics & Dashboard","216","₳77,499,481","₳26,015,450","YES","₳146,000","NOT FUNDED","₳302","Over Budget"
"DexHunter Price, Swaps, and Token API for Cardano Developers and Projects","441","₳77,297,009","₳45,186,752","YES","₳195,000","NOT FUNDED","₳302","Over Budget"
"Cardano Native Token -> Bitcoin Bridge (Open Source)","425","₳74,758,191","₳50,110,012","YES","₳195,000","NOT FUNDED","₳302","Over Budget"
"Automating Smart Contract and dApp Development","338","₳74,091,928","₳29,818,344","YES","₳173,000","NOT FUNDED","₳302","Over Budget"
"Cardano Code Lab - Code, Test, Deploy - All in One Place","252","₳73,763,769","₳11,154,387","YES","₳150,000","NOT FUNDED","₳302","Over Budget"
"Zero-Knowledge RWA Tokenization & Trading Protocol on Midnight (open source)","305","₳73,256,727","₳42,529,733","YES","₳200,000","NOT FUNDED","₳302","Over Budget"
"Cross-Platform SDK: Empowering Blockchain Integration","280","₳72,029,405","₳18,906,358","YES","₳98,000","NOT FUNDED","₳302","Over Budget"
"Marlowe VS Code Extension - AI & CLIs Support with GUI","200","₳71,765,143","₳12,280,510","YES","₳75,000","NOT FUNDED","₳302","Over Budget"
"TrustPilot for DReps: On-Chain DReps Rating & Review Score Algorithmic Framework for Cardano Governance","265","₳70,665,274","₳29,426,685","YES","₳90,000","NOT FUNDED","₳302","Over Budget"
"Cardano SDK For Flutter: Cross-Platform Integration","213","₳68,579,895","₳17,794,628","YES","₳110,000","NOT FUNDED","₳302","Over Budget"
"Expanding Unified Open-Source DEX Analytics for Cardano","361","₳68,441,783","₳30,086,008","YES","₳112,000","NOT FUNDED","₳302","Over Budget"
"Cardano Python SDK with Latest Updates","281","₳67,601,909","₳29,565,833","YES","₳130,000","NOT FUNDED","₳302","Over Budget"
"Turbocharging Cardano Dev Experience: Automated Tools & Templates","332","₳67,449,323","₳50,719,266","YES","₳95,000","NOT FUNDED","₳302","Over Budget"
"Ikigai | Steam Wallet Account Linking and Integration, open-source","274","₳66,616,715","₳18,235,663","YES","₳68,571","NOT FUNDED","₳302","Over Budget"
"Yepple - Airdrop Solutions - API & SDK","326","₳65,594,565","₳18,574,307","YES","₳110,000","NOT FUNDED","₳302","Over Budget"
"Yepple - React/Next.js Wallet Connector for Mainstream Adoption","353","₳65,124,261","₳37,298,778","YES","₳110,000","NOT FUNDED","₳302","Over Budget"
"Cardano Smart Contract Generator | Generate and Deploy a Smart Contract in Under 1 Hour","243","₳63,918,192","₳34,923,377","YES","₳200,000","NOT FUNDED","₳302","Over Budget"
"Nova Finance V2 - Smart Lending","209","₳63,643,198","₳39,413,914","YES","₳190,000","NOT FUNDED","₳302","Over Budget"
"[ DjedAlliance - StableOrder ] Djed Shu Stablecoin Implementation","328","₳62,638,610","₳32,922,139","YES","₳200,000","NOT FUNDED","₳302","Over Budget"
"Open-Source Cardano Event-Driven Architecture Framework","231","₳62,470,014","₳30,667,514","YES","₳199,000","NOT FUNDED","₳302","Over Budget"
"DRep Evaluation & Reputation Protocol for Cardano Governance (open source)","258","₳61,924,240","₳45,820,291","YES","₳200,000","NOT FUNDED","₳302","Over Budget"
"[VTC] ADAtrust: Decentralized Fund Management Solution on Cardano","310","₳61,873,395","₳44,825,427","YES","₳194,750","NOT FUNDED","₳302","Over Budget"
"Ultimate Library of Cardano Tools (130+ pages) — Adastack.io","262","₳61,601,527","₳21,568,499","YES","₳48,950","NOT FUNDED","₳302","Over Budget"
"Blockfrost C++ SDK","218","₳61,359,300","₳26,174,171","YES","₳37,000","NOT FUNDED","₳302","Over Budget"
"[Tempo] Visualizing Cardano Treasury and Reserve Data","270","₳59,282,936","₳34,020,468","YES","₳30,000","NOT FUNDED","₳302","Over Budget"
"Yepple - Token Staking API, SDK & Dashboard","322","₳59,145,326","₳39,398,722","YES","₳170,000","NOT FUNDED","₳302","Over Budget"
"Unified Development Tool Chain for Cardano Smart Contract Development","234","₳56,249,528","₳49,225,646","YES","₳150,000","NOT FUNDED","₳302","Over Budget"
"Cardano DevHub - A Comprehensive Support Platform for New Developers","242","₳56,230,933","₳32,806,559","YES","₳24,730","NOT FUNDED","₳302","Over Budget"
"Embeddable code playground and runner for interactive Cardano documentation that supports multiple programming languages (Aiken, Opshin, Python, Javascript…)","224","₳55,469,861","₳26,998,271","YES","₳50,000","NOT FUNDED","₳302","Over Budget"
"Secure Cross-Chain Bitcoin Lightning & Cardano Channels with Perun","266","₳55,344,007","₳33,831,375","YES","₳187,533","NOT FUNDED","₳302","Over Budget"
"Cardano Visual Studio Code Extension: Enhancing the Developer Experience","286","₳54,470,201","₳45,567,953","YES","₳150,000","NOT FUNDED","₳302","Over Budget"
"Tiamat: Decentralized & Instantly Interoperable Layer 2 for Cardano","279","₳53,923,644","₳45,331,846","YES","₳200,000","NOT FUNDED","₳302","Over Budget"
"Open-Source Prediction Market Smart Contracts","209","₳51,715,942","₳46,012,998","YES","₳140,000","NOT FUNDED","₳302","Over Budget"
"Protofire - Contract Explorer","249","₳51,213,319","₳51,777,647","YES","₳182,000","NOT FUNDED","₳302","Over Budget"
"Transaction Model Management","191","₳51,136,539","₳44,685,997","YES","₳78,500","NOT FUNDED","₳302","Over Budget"
"[LANTR] Scalus: Plutus V3 support","254","₳50,965,945","₳44,366,825","YES","₳100,000","NOT FUNDED","₳302","Over Budget"
"Visualized Tool for Transaction Building in Cardano","221","₳50,133,906","₳42,738,857","YES","₳61,000","NOT FUNDED","₳302","Over Budget"
"CardanoPlugin: Plutus Code Analyzer","223","₳50,083,073","₳30,632,613","YES","₳180,000","NOT FUNDED","₳302","Over Budget"
"Plug-and-Play Open-Source DEX Platform","362","₳48,846,065","₳39,918,593","YES","₳195,000","NOT FUNDED","₳302","Over Budget"
"DanoCross-Pioneering cross-chain investment strategy.","204","₳48,395,619","₳48,155,622","YES","₳142,000","NOT FUNDED","₳302","Over Budget"
"TrustTX AI SDK: Turning Cardano Tx Signing into Easy-to-Read Natural Language, Solving a $300M problem, making web3 safer.","248","₳47,522,401","₳33,055,077","NO","₳110,000","NOT FUNDED","₳302","Approval Threshold"
"CardanoSmartVerify: Securing Plutus Smart Contracts with Formal Verification","199","₳46,787,444","₳31,254,007","NO","₳160,000","NOT FUNDED","₳302","Approval Threshold"
"Paideia: Off chain and UI for a smooth DAO UX","211","₳46,247,548","₳28,998,116","NO","₳180,000","NOT FUNDED","₳302","Approval Threshold"
"Advanced Swap Templates | NFT Guild","247","₳45,499,408","₳36,283,570","NO","₳200,000","NOT FUNDED","₳302","Approval Threshold"
"Cardano X Internet Computer Interoperability Framework","246","₳45,160,362","₳14,093,289","NO","₳185,000","NOT FUNDED","₳302","Approval Threshold"
"SAIB: Futura – Enabling F# Smart Contracts for Cardano .NET Developers","277","₳45,127,160","₳30,437,186","NO","₳190,000","NOT FUNDED","₳302","Approval Threshold"
"Bind-friendly C Library for Ledger Hardware Wallet Cardano App","311","₳44,847,838","₳51,669,877","NO","₳200,000","NOT FUNDED","₳302","Approval Threshold"
"Unreal Engine (UE) Cardano Wallet Connector","327","₳44,066,691","₳55,676,759","NO","₳200,000","NOT FUNDED","₳302","Approval Threshold"
"Yepple - Full-Stack Token (CNT) & NFT Sale Platform & SDK","290","₳43,890,996","₳23,122,944","NO","₳190,000","NOT FUNDED","₳302","Approval Threshold"
"Open Source Identity Wallet: Atala PRISM for ID Verification.","258","₳43,496,172","₳44,766,119","NO","₳150,000","NOT FUNDED","₳302","Approval Threshold"
"TuxChain - A Linux Distro for build and deploy Cardano Nodes in a easy way","234","₳43,293,694","₳20,144,637","NO","₳200,000","NOT FUNDED","₳302","Approval Threshold"
"Haskell.nix alternative: build Plutus contracts with Dream2Nix","191","₳43,183,107","₳29,974,760","NO","₳145,000","NOT FUNDED","₳302","Approval Threshold"
"Open-Source Batchers for MuesliSwap Orderbook","314","₳42,869,439","₳33,758,875","NO","₳82,100","NOT FUNDED","₳302","Approval Threshold"
"Cardano Learn-to-Earn: Blockchain-Powered Educational Incentives","222","₳40,521,665","₳31,735,631","NO","₳150,000","NOT FUNDED","₳302","Approval Threshold"
"Unreal Engine Plugin for Cardano Blockchain Interactions","339","₳39,913,077","₳51,003,220","NO","₳200,000","NOT FUNDED","₳302","Approval Threshold"
"Unified Cardano Developer Documentation Portal with AI-Powered Search Engine","214","₳39,536,661","₳29,724,252","NO","₳90,300","NOT FUNDED","₳302","Approval Threshold"
"ZK-RWA Tokenization Library: Secure and Compliant Real-World Asset Tokenization on Cardano Powered by Midnight","274","₳39,250,296","₳40,905,085","NO","₳135,000","NOT FUNDED","₳302","Approval Threshold"
"VYFI: Fix For Incorrect Datums Resulting in ""Burnt"" Assets on Chain","268","₳39,144,514","₳31,648,762","NO","₳96,000","NOT FUNDED","₳302","Approval Threshold"
"DePIN- Atala Prism for Radio Frequency Identification Infrastructure- Developers","230","₳39,045,431","₳34,652,280","NO","₳190,000","NOT FUNDED","₳302","Approval Threshold"
"Wider accessibility of automated P2P borrowing - Lenfi Software Development Kit (SDK)","303","₳38,898,119","₳32,954,056","NO","₳75,000","NOT FUNDED","₳302","Approval Threshold"
"Personalizing Autonomous Agents for Cardano Governance","218","₳38,338,051","₳32,775,387","NO","₳100,000","NOT FUNDED","₳302","Approval Threshold"
"Secure IoT Device Management on Cardano","252","₳38,220,455","₳47,633,168","NO","₳70,000","NOT FUNDED","₳302","Approval Threshold"
"Cardano Identity-Based Access Control NPM Package","195","₳37,885,337","₳18,218,763","NO","₳95,000","NOT FUNDED","₳302","Approval Threshold"
"HasGen: AI-Powered Code and UI Generation for Cardano Haskell Developers","206","₳37,846,428","₳33,616,015","NO","₳150,000","NOT FUNDED","₳302","Approval Threshold"
"Cardano Decentralized Data Storage using Atala Prism","220","₳37,220,609","₳28,548,098","NO","₳90,000","NOT FUNDED","₳302","Approval Threshold"
"Bind-friendly C Library for UPLC (Untyped Plutus Core) code execution","217","₳36,537,831","₳48,289,298","NO","₳200,000","NOT FUNDED","₳302","Approval Threshold"
"AI-Enhanced Knowledge Graph for Cardano Blockchain Development","203","₳36,475,364","₳49,456,205","NO","₳97,000","NOT FUNDED","₳302","Approval Threshold"
"Phase 2: Cardano for 100,000+ users","233","₳36,234,962","₳31,669,929","NO","₳69,000","NOT FUNDED","₳302","Approval Threshold"
"AttentionSDK: Deploy On-Chain Marketing Campaigns in One Click to Help Projects and Developers Build Distribution (Open-Source Galxe/Zealy Clone)","205","₳36,233,506","₳30,641,038","NO","₳130,000","NOT FUNDED","₳302","Approval Threshold"
"Millions of Sites, One Solution: Plug-and-Play Cardano Integration","211","₳35,689,961","₳38,781,051","NO","₳50,000","NOT FUNDED","₳302","Approval Threshold"
"Cardano Python SDK: Easy Wallet Management & Transaction Handling","242","₳35,488,848","₳34,005,361","NO","₳39,000","NOT FUNDED","₳302","Approval Threshold"
"Intra-DRep Voting Framework: Enabling DReps to Align Votes with Delegators' Interests, Transparency and Inclusive Governance","240","₳35,432,622","₳32,379,100","NO","₳140,000","NOT FUNDED","₳302","Approval Threshold"
"Cardano on Telegram: Made Easy","234","₳35,335,156","₳44,704,090","NO","₳200,000","NOT FUNDED","₳302","Approval Threshold"
"Cardano Privacy Layer: A Zero-Knowledge based anonymous membership and voting protocol (Phase 2)","253","₳35,282,351","₳47,280,055","NO","₳187,474","NOT FUNDED","₳302","Approval Threshold"
"React Native NPM Package for Cardano Blockchain Integration","208","₳35,163,630","₳41,037,279","NO","₳40,000","NOT FUNDED","₳302","Approval Threshold"
"Reward-Driven Gaming Platform","247","₳34,741,193","₳35,240,442","NO","₳60,000","NOT FUNDED","₳302","Approval Threshold"
"Open Source Minting Platform for NFTs - With Payment Gateway and Wallet integration","214","₳34,072,765","₳48,050,901","NO","₳199,384","NOT FUNDED","₳302","Approval Threshold"
"Next-Gen AI and Blockchain Tools for Developers","218","₳33,968,940","₳29,769,005","NO","₳113,550","NOT FUNDED","₳302","Approval Threshold"
"Yepple - Beginner-friendly NFT/CNT Metadata & Image Creation","267","₳33,964,908","₳33,544,727","NO","₳95,000","NOT FUNDED","₳302","Approval Threshold"
"Revolutionizing Property Management with Cardano Blockchain","219","₳33,289,633","₳43,623,264","NO","₳140,000","NOT FUNDED","₳302","Approval Threshold"
"VERALIDITY 🔥 Integrated REST & GraphQl APIs for eCommerce platforms 🚀 Adobe Commerce & Magento 2 Open Source","198","₳33,202,351","₳26,919,151","NO","₳100,000","NOT FUNDED","₳302","Approval Threshold"
"Blockchain crypto jobs with AI Aggregator and Web3 talents recruiting platform - CardanoFeed","261","₳33,178,468","₳45,142,530","NO","₳199,893","NOT FUNDED","₳302","Approval Threshold"
"Ouroboros Capital: Tokenized VC Fund Library Powered by SPOs – Sandbox Pilot for Voltaire Era Decentralized VC Arm","236","₳33,135,534","₳37,403,356","NO","₳120,000","NOT FUNDED","₳302","Approval Threshold"
"Koios C++ Client Library","214","₳32,655,126","₳47,443,084","NO","₳37,000","NOT FUNDED","₳302","Approval Threshold"
"Uniting Innovators Worldwide with Cardano Idea Connect","193","₳32,520,635","₳19,142,355","NO","₳97,800","NOT FUNDED","₳302","Approval Threshold"
"Collateral UTxO Provider API","196","₳32,428,954","₳32,976,077","NO","₳100,000","NOT FUNDED","₳302","Approval Threshold"
"A beginner's Toolkit: Cardano ZKP-based AI Assistant for syndicated transactional privacy and smart contracts using Midnight","225","₳32,239,684","₳36,554,254","NO","₳200,000","NOT FUNDED","₳302","Approval Threshold"
"Cardano Natural Language Smart Contract Interface","219","₳31,538,459","₳45,220,656","NO","₳120,000","NOT FUNDED","₳302","Approval Threshold"
"Data Tokenization As A Decentralised Data Storage Mechanism: A Fully Decentralised Wallet Seed Phrase Recovery Manager.","223","₳31,449,469","₳30,002,346","NO","₳196,375","NOT FUNDED","₳302","Approval Threshold"
"Cardano Football Fanverse: Decentralized Fan Engagement Platform","203","₳31,229,554","₳51,188,310","NO","₳70,000","NOT FUNDED","₳302","Approval Threshold"
"[TEX] TEX Academy: Cardano-Oriented Blockchain Learning and Education Platform","248","₳31,117,955","₳31,155,276","NO","₳120,000","NOT FUNDED","₳302","Approval Threshold"
