"2 funded?","Category","Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"FALSE","Cardano Use Cases: Partners & Products","Mesh UTXOS x Mercuryo (MasterCard) x Checkpoint","310","₳57,253,369","₳28,055,172","YES","₳490,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Mesh: Privacy-Enabled Smart Contracts and UI for Midnight","253","₳56,910,276","₳6,424,529","YES","₳65,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Cross-Platform SDK: A Unified Cardano Development Kit","133","₳56,832,084","₳3,904,910","YES","₳68,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","VDIC-Cardano: Verifiable IPFS Clusters for Cardano","129","₳55,250,223","₳11,794,952","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Flow V2 - Open Source Multi Collateral AMM Lending Pools","250","₳54,636,633","₳26,617,889","YES","₳408,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","All-in-One Catalyst: Notifications, AI Lists & Portfolios","204","₳54,242,398","₳30,393,784","YES","₳250,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","CardaPay Seamless Payments Powered by Cardano","156","₳54,120,191","₳7,895,308","YES","₳75,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Onchain Leverage Trading on Splash","221","₳53,843,707","₳28,261,432","YES","₳338,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Muzify Cardano Fan Wallet & USDA Loyalty Engine","146","₳53,506,600","₳27,426,907","YES","₳350,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","WFP Price Ledger: Democratizing Market Data with Blockchain","178","₳53,037,787","₳27,426,734","YES","₳480,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Aiken JetBrains Extension","131","₳52,899,803","₳22,032,461","YES","₳85,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","One-Click Insurance for transactions onCardano Chain & DApps","206","₳52,873,035","₳34,529,840","YES","₳500,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","SAIB: Chrysalis.Plutus.Builtins - Core Runtime Operations","123","₳52,833,863","₳12,353,839","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Anvil - Scale the Chain: Universal Merkle Bridge POC for L2s","143","₳52,301,414","₳6,586,084","YES","₳95,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Andamio Auth: T3 App Template with Cardano Token-Based Login","259","₳51,999,650","₳21,844,152","YES","₳67,200","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Shopify + ADA Payments + Native Assets in E-commerce Stores","250","₳51,987,851","₳11,308,329","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Cardano Passkey","139","₳50,737,589","₳7,384,563","YES","₳70,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","SAIB: Chrysalis.CBOR – .NET's CBOR (De)serialization Engine","133","₳50,697,254","₳12,361,268","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Whitelabel Hydra Auctions for Gaming & Defi (MLabs + Ikigai)","249","₳49,502,551","₳30,005,811","YES","₳360,793","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Armenia- Country Level Waste System with Plastiks.io","236","₳49,405,374","₳38,609,891","YES","₳280,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","COTS-CLI: Cardano Offline Transaction Simulator","178","₳49,306,268","₳8,505,860","YES","₳20,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Boost Developer Efficiency: Cardano + Midnight Dev MCP Agent","157","₳49,222,574","₳7,841,934","YES","₳75,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Cometa.lua: Cardano SDK for Lua with Full Conway Era Support","127","₳48,878,005","₳8,368,747","YES","₳60,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Unified Open Source DAO Analytics for Cardano","152","₳48,070,658","₳7,742,137","YES","₳75,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","SMARTMERCH™ on Cardano — Bringing Onchain RWA to Daily Life","164","₳47,937,513","₳32,031,478","YES","₳500,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Commercial Bank Money Token CBMT on Cardano","225","₳47,689,552","₳32,359,898","YES","₳500,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","BikeID Proof Of Bike Millions of Bikes Registered on Cardano","260","₳47,550,574","₳29,479,561","YES","₳647,354","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Koios C++ Client Library","125","₳46,713,285","₳3,977,673","YES","₳65,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","AI-Powered Smart Contract Auditing Tool for Cardano","108","₳46,684,105","₳10,403,116","YES","₳70,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Juicychain: Tracing the Global Juice Supply Chain on Cardano","225","₳46,524,451","₳30,032,772","YES","₳505,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Hydra-Powered EV Battery DPP: Privacy + Transparency","166","₳45,908,935","₳28,907,298","YES","₳396,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Midnight and Open Zeppelin Partnership for Computation","158","₳45,832,383","₳11,213,670","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Cometa.rb: Cardano SDK for Ruby with Full Conway Era Support","113","₳45,459,923","₳22,944,004","YES","₳60,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Malama Carbon - Universal dMRV Infrastructure on Cardano","205","₳44,747,331","₳29,622,504","YES","₳495,000","NOT FUNDED","₳8,754","Over Budget"
"TRUE","Cardano Open: Developers","No Witness - MACS coin selection algorithm for Evolution SKD","200","₳67,322,474","₳26,974,107","YES","₳100,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Cardanoscan for AI Agents: Open Source MCP Server","187","₳65,754,547","₳6,396,819","YES","₳99,500","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","No Witness - Firehose and Substreams Integration for Cardano","215","₳64,089,089","₳9,290,034","YES","₳81,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","No Witness - Common Vulnerabilities Patterns","222","₳60,648,401","₳6,764,093","YES","₳87,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","No Witness - Ghost Codec the Hardhat of Cardano","201","₳56,245,554","₳8,308,241","YES","₳97,600","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","No Witness - Cardano MCP (Model Context Protocol)","204","₳56,099,278","₳6,933,214","YES","₳87,600","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Cexplorer: Open Addon System for Metadata and Scripts","175","₳49,032,830","₳5,468,567","YES","₳40,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Cexplorer: Public Entity DB and Mgmt for Pool/Drep/Asset/...","146","₳48,188,200","₳5,887,506","YES","₳50,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Datum Explorer: Advanced CBOR tools & Interactive Features","200","₳80,780,244","₳9,585,081","YES","₳100,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Multi-chain wallet SDK for Cardano interoperability","219","₳75,257,570","₳10,843,664","YES","₳100,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Prime Wallet: Mass Voting & Multi-Wallet Actions","184","₳74,469,694","₳8,467,457","YES","₳100,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Improving Cardano UX - Transparent Block Production Schedule","193","₳73,081,428","₳15,501,962","YES","₳100,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Use Cases: Partners & Products","Cardano cross-chain swaps with 25+ blockchains","297","₳89,865,764","₳20,677,462","YES","₳250,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Use Cases: Partners & Products","Cardanoscan Upgrade V3: Real-Time, Personal & More Analytics","366","₳103,956,612","₳27,335,613","YES","₳250,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Use Cases: Partners & Products","USDC + USDT perps on Cardano: extend Strike for multi-chain","363","₳114,872,427","₳25,243,374","YES","₳250,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Use Cases: Partners & Products","Typhon Wallet - Secure Multi-Signature Support","233","₳114,992,789","₳28,229,725","YES","₳250,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","SIDAN - Cardano Bar - Aiken Blueprint Parser for VSCode","207","₳81,080,808","₳12,182,350","YES","₳100,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Deploy Faster on Cardano: Open-Source Off-Chain Engine","344","₳76,560,554","₳4,942,784","YES","₳60,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","SIDAN - Vodka - Complete Aiken Dev Utils & Testing Framework","197","₳75,704,293","₳9,949,938","YES","₳100,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Hydra Enterprise OS: Onboarding Institutions with Low-code","171","₳68,582,358","₳9,035,170","YES","₳85,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Hydra-Enabled On-Chain ChatGPT for Secure & High-Speed AI","135","₳62,567,595","₳7,401,536","YES","₳90,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Cardano Partnerchain Migrator: Solana PE & Avalanche Subnet","145","₳59,302,054","₳5,004,782","YES","₳80,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","ZK-P2P Lending with Midnight ZKPs; Private Loans Cardano Lib","152","₳52,482,545","₳23,384,722","YES","₳80,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Open: Developers","Orcfax Live Feed Extension – Latest Price Smart Contract","197","₳48,345,528","₳10,787,780","YES","₳100,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Use Cases: Partners & Products","VESPR Keyless: Self-Custody Without Seed Phrases","322","₳116,465,487","₳34,955,104","YES","₳250,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Use Cases: Partners & Products","NuNet: Hydra-Powered Micropayments for DePIN","399","₳115,560,067","₳35,999,789","YES","₳1,000,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Use Cases: Partners & Products","VESPR x DexHunter: Stable-Swaps Aggregation 💱","338","₳98,562,561","₳26,658,376","YES","₳250,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Use Cases: Partners & Products","VESPR: Mobile Governance - Activating 100M+ ADA","318","₳88,244,645","₳29,237,498","YES","₳250,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Use Cases: Partners & Products","Launching the Frax Stablecoin & DeFi Ecosystem on Cardano","202","₳66,316,563","₳35,891,255","YES","₳850,000","Does not meet ""sponsored by leftovers"" requirements.","",""
"TRUE","Cardano Use Cases: Partners & Products","NuNet: Decentralized SPO Computing - Scaling&Expansion","271","₳48,247,912","₳22,413,682","YES","₳250,000","Does not meet ""sponsored by leftovers"" requirements.","",""
