proposal_id,fund,year,title,challenge,pillar,pillar_name,subcategory,classification_confidence,classification_basis,currency,amount_requested,amount_received,funding_status,project_status,funded,delivered
f01-from-dscience-to-dtech,1,2020,From Dscience to Dtech,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,17235584.0,0,not_approved,unfunded,False,False
f01-house-of-ada-senate-of-cardanians,1,2020,House of ADA & Senate of Cardanians,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,2000000.0,0,not_approved,unfunded,False,False
f01-identify-dano-defi-building-blocks,1,2020,Identify Dano DeFi Building Blocks,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,250000.0,250000.0,approved,funded,True,False
f01-investment-group-properties,1,2020,Investment Group Properties,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,3000000.0,0,not_approved,unfunded,False,False
f01-keep-cardano-decentralized,1,2020,Keep Cardano Decentralized,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,100000.0,0,not_approved,unfunded,False,False
f01-music-video,1,2020,Music video,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,250000.0,0,not_approved,unfunded,False,False
f01-open-source-experiential-learning,1,2020,Open Source Experiential Learning,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,111111.0,111111.0,approved,funded,True,False
f01-political-parties,1,2020,Political Parties,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-project-cattlebole,1,2020,Project Cattlebole,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-project-pavia-cardano-s-vr-world,1,2020,Project Pavia | Cardano's VR World,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-project-skoowls,1,2020,Project Skoowls,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-proposal-creator-role,1,2020,Proposal creator role,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-proposal-education-channel-s,1,2020,Proposal education channel/s,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-stakepool-governance-incubation,1,2020,Stakepool governance & Incubation,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,250000.0,0,not_approved,unfunded,False,False
f01-staking-lottery,1,2020,Staking Lottery,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-streamline-cardano-dev-onboard-proc,1,2020,Streamline Cardano Dev onboard proc,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0.0,approved,funded,True,False
f01-the-developer-marketplace-rebrand,1,2020,The Developer Marketplace (Rebrand),,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,2000000.0,0,not_approved,unfunded,False,False
f01-the-woman-effect,1,2020,The woman effect,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,71400.0,71400.0,approved,funded,True,False
f01-torus-governance-for-os-projects,1,2020,Torus: Governance for OS Projects,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,1600000.0,1600000.0,approved,funded,True,False
f01-trade-block,1,2020,Trade Block,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,250000.0,0,not_approved,unfunded,False,False
f01-west-africa-decentralized-alliance,1,2020,West Africa Decentralized Alliance,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,4000000.0,0,not_approved,unfunded,False,False
f01-wethinkitmatters-r,1,2020,WeThinkItMatters®,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,1000000.0,0,not_approved,unfunded,False,False
f02-a-smart-market-toolkit-for-cardano-f2,2,2021,A Smart Market Toolkit for Cardano,Fund2 Challenge,P2,Adoption & Utility,products-and-developer-experience,medium,proposal-text,USD,981319.0,,not_approved,unfunded,False,False
f02-a-song-for-cardano-f2,2,2021,A SONG FOR CARDANO,Fund2 Challenge,P4,Community & Ecosystem Growth,community-and-regional-growth,medium,proposal-text,USD,100000.0,,not_approved,unfunded,False,False
f02-abcd-f2,2,2021,ABCD,Fund2 Challenge,P4,Community & Ecosystem Growth,education-and-talent,medium,proposal-text,USD,270600.0,,unknown,unfunded,False,False
f02-ada-in-3055-bitcoin-atms-globally-f2,2,2021,ADA in 3055+ Bitcoin ATMs Globally!,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,120000.0,,not_approved,unfunded,False,False
f02-ada-makerspace-podcast-series-f2,2,2021,ADA MakerSpace Podcast Series,Fund2 Challenge,P2,Adoption & Utility,products-and-developer-experience,medium,proposal-text,USD,136000.0,,unknown,unfunded,False,False
f02-address-gap-in-spo-education-communication,2,2021,Address Gap in SPO Education/Comms,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,10700.0,10700.0,not_approved,complete,False,False
f02-advertising-cardano-f2,2,2021,Advertising Cardano,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,70000.0,,not_approved,unfunded,False,False
f02-an-ultra-efficient-blockchain-f2,2,2021,An ultra efficient blockchain,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,75000.0,,not_approved,unfunded,False,False
f02-artdapp-powered-by-cardano-f2,2,2021,ArtDapp - Powered by Cardano,Fund2 Challenge,P2,Adoption & Utility,identity-and-enterprise,medium,proposal-text,USD,650000.0,,not_approved,unfunded,False,False
f02-beef-chain-for-medical-devices-f2,2,2021,'Beef chain' for Medical Devices,Fund2 Challenge,P2,Adoption & Utility,identity-and-enterprise,medium,proposal-text,USD,300000.0,,not_approved,unfunded,False,False
f02-cardano-and-fp-in-malawi-f2,2,2021,Cardano and FP in Malawi,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,500000.0,,not_approved,unfunded,False,False
f02-cardano-community-council-ccc-f2,2,2021,Cardano Community Council (CCC),Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,500000.0,,not_approved,unfunded,False,False
f02-cardano-content-factory-f2,2,2021,Cardano Content Factory,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,30000.0,,not_approved,unfunded,False,False
f02-cardano-for-mobile-dapp-developers-f2,2,2021,Cardano for Mobile dApp Developers,Fund2 Challenge,P2,Adoption & Utility,products-and-developer-experience,medium,proposal-text,USD,32100.0,32100.0,approved,in_progress,True,False
f02-cardano-hub-f2,2,2021,Cardano Hub,Fund2 Challenge,P4,Community & Ecosystem Growth,community-and-regional-growth,medium,proposal-text,USD,888888.0,,not_approved,unfunded,False,False
f02-cardano-in-spanish-f2,2,2021,Cardano in Spanish,Fund2 Challenge,P4,Community & Ecosystem Growth,community-and-regional-growth,medium,proposal-text,USD,60120.0,,not_approved,unfunded,False,False
f02-cardano-media-projects-f2,2,2021,Cardano Media Projects,Fund2 Challenge,P4,Community & Ecosystem Growth,communications-and-outreach,medium,proposal-text,USD,94000.0,,not_approved,unfunded,False,False
f02-cardano-mobile-app-f2,2,2021,Cardano Mobile App,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,92714.0,,not_approved,unfunded,False,False
f02-cardano-podcast-in-spanish-f2,2,2021,Cardano Podcast in Spanish,Fund2 Challenge,P4,Community & Ecosystem Growth,community-and-regional-growth,medium,proposal-text,USD,145000.0,,unknown,unfunded,False,False
f02-cardano-social-economic-ecosystem-f2,2,2021,Cardano Social & Economic Ecosystem,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,340000.0,,not_approved,unfunded,False,False
f02-cardano-stake-pool-library-f2,2,2021,Cardano Stake Pool Library,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,122000.0,,not_approved,unfunded,False,False
f02-cardano-starter-kits-apis-f2,2,2021,Cardano Starter Kits + APIs,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,28355.0,28355.0,approved,complete,True,True
f02-cardano-swift-sdk-f2,2,2021,Cardano Swift SDK,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,100000.0,,unknown,unfunded,False,False
f02-cast-onboarding-7-billion-f2,2,2021,C₳ST Onboarding… 7 Billion + 🗺,Fund2 Challenge,P4,Community & Ecosystem Growth,communications-and-outreach,medium,proposal-text,USD,200000.0,,not_approved,unfunded,False,False
f02-cntools-spo-tools-and-services-f2,2,2021,CNTools - SPO tools and services,Fund2 Challenge,P5,Ecosystem Sustainability & Resilience,stake-pool-resilience,medium,proposal-text,USD,140000.0,,unknown,unfunded,False,False
f02-create-message-signing-standard-f2,2,2021,Create message signing standard,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,5000.0,535.0,approved,complete,True,True
f02-credmark-credit-score-f2,2,2021,Credmark Credit Score,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,500000.0,,not_approved,unfunded,False,False
f02-decentralised-funding-report-f2,2,2021,Decentralised Funding - Report,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,276644.0,,not_approved,unfunded,False,False
f02-decentralized-cloud-platform-f2,2,2021,Decentralized Cloud Platform,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,225000.0,,unknown,unfunded,False,False
f02-decentralized-multiplayer-rpg-f2,2,2021,Decentralized Multiplayer RPG,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,600000.0,,not_approved,unfunded,False,False
f02-decentralized-support-f2,2,2021,Decentralized support,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,500000.0,,not_approved,unfunded,False,False
f02-defi-hackathon-f2,2,2021,Defi Hackathon,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,250000.0,,not_approved,unfunded,False,False
f02-develop-the-kevm-iele-f2,2,2021,Develop the KEVM & IELE,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,25000.0,,not_approved,unfunded,False,False
f02-developer-acquisition-campaign-f2,2,2021,Developer Acquisition Campaign,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,100000.0,,not_approved,unfunded,False,False
f02-easy-remittance-payments-f2,2,2021,Easy remittance payments,Fund2 Challenge,P2,Adoption & Utility,defi-and-payments,medium,proposal-text,USD,10000.0,,not_approved,unfunded,False,False
f02-education-and-information-sharing-f2,2,2021,Education and Information sharing,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,24990.0,,not_approved,unfunded,False,False
f02-encouraging-wider-ada-distribution-f2,2,2021,Encouraging Wider ADA Distribution,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,350000.0,,not_approved,unfunded,False,False
f02-encouraging-wider-ada-distribution-f2-3fe380f9,2,2021,Encouraging Wider ADA Distribution,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,350000.0,,not_approved,unfunded,False,False
f02-envlp-a-wallet-with-plug-ins-f2,2,2021,ENVLP - a wallet with plug-ins,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,354812.0,,not_approved,unfunded,False,False
f02-erp-platform-for-business-economics-f2,2,2021,ERP Platform for Business Economics,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,54999.0,,unknown,unfunded,False,False
f02-errc-smart-contracts-converter-f2,2,2021,ERC-* smart contracts conventer,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,260000.0,,not_approved,unfunded,False,False
f02-ethereum-to-from-cardano-bridge-f2,2,2021,Ethereum to/from Cardano Bridge,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,50000.0,,not_approved,unfunded,False,False
f02-fandom-auction-and-sales-platform-f2,2,2021,Fandom Auction and Sales Platform,Fund2 Challenge,P2,Adoption & Utility,identity-and-enterprise,medium,proposal-text,USD,250000.0,,not_approved,unfunded,False,False
f02-form-a-haskell-group-on-gitcoin,2,2021,Form a Haskell group on Gitcoin.,Fund2 Challenge,P2,Adoption & Utility,products-and-developer-experience,medium,proposal-text,USD,12345.0,,not_approved,unfunded,False,False
f02-fox-gifts-fund-raising-f2,2,2021,FOX Gifts & Fund Raising,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,122250.0,,not_approved,unfunded,False,False
f02-fox-rewards-fitness-mental-health-f2,2,2021,FOX Rewards Fitness & Mental Health,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,105700.0,,not_approved,unfunded,False,False
f02-free-commerce-sell-online-with-ada-f2,2,2021,Free-Commerce: sell online with ADA,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,77514.0,,over_budget,unfunded,False,False
f02-funding-of-cardanojournal-com-f2,2,2021,Funding of Cardanojournal.com,Fund2 Challenge,P4,Community & Ecosystem Growth,community-and-regional-growth,medium,proposal-text,USD,100000.0,,not_approved,unfunded,False,False
f02-further-development-of-adapools-org-f2,2,2021,Further development of ADApools.org,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,250000.0,,unknown,unfunded,False,False
f02-haskell-plutus-marlowed-education-f2,2,2021,Haskell/Plutus/Marlowe Education,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,19469.0,19469.0,approved,complete,True,True
f02-incentivized-knowledge-sharing-f2,2,2021,Incentivized knowledge sharing,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,250000.0,,not_approved,unfunded,False,False
f02-independent-token-incentive-blogs-f2,2,2021,Independent token-incentive blogs,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,38000.0,,not_approved,unfunded,False,False
f02-index-dapps-smart-contracts-f2,2,2021,Index Dapps & Smart Contracts,Fund2 Challenge,P2,Adoption & Utility,products-and-developer-experience,medium,proposal-text,USD,200000.0,,not_approved,unfunded,False,False
f02-iot-utility-dapp-sign-tx-arduino-f2,2,2021,IoT Utility Dapp - Sign Tx Arduino,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,8025.0,8025.0,approved,complete,True,True
f02-japan-cardano-governance-association,2,2021,Japan Cardano Governance Association-Meetings & Communities,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,374.0,374.0,approved,complete,True,True
f02-kaizen-crypto-cardano-podcast-f2,2,2021,Kaizen Crypto Cardano Podcast,Fund2 Challenge,P4,Community & Ecosystem Growth,communications-and-outreach,medium,proposal-text,USD,162500.0,,not_approved,unfunded,False,False
f02-liqwid-cardano-defi-lending-markets-f2,2,2021,Liqwid:Cardano DeFi Lending Markets,Fund2 Challenge,P2,Adoption & Utility,defi-and-payments,medium,proposal-text,USD,41195.0,41195.0,approved,complete,True,True
f02-lovelace-academy-marlowe-plutus-f2,2,2021,Lovelace Academy Marlowe Plutus,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,12919.0,12919.0,approved,complete,True,True
f02-make-ada-brand-world-recognised-f2,2,2021,Make Ada brand world recognised.,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,2000000.0,,not_approved,unfunded,False,False
f02-ouroboros-over-rina-f2,2,2021,Ouroboros over RINA,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,10700.0,10700.0,approved,complete,True,True
f02-pet-registry-dapp-pay-api-f2,2,2021,Pet Registry dApp + ₳Pay API,Fund2 Challenge,P2,Adoption & Utility,products-and-developer-experience,medium,proposal-text,USD,14263.0,14263.0,approved,in_progress,True,False
f02-pooltool-platform-upgrade-f2,2,2021,PoolTool Platform Upgrade,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,22470.0,22470.0,approved,complete,True,True
f02-slot-leader-podcast-f2,2,2021,Slot Leader Podcast,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,145000.0,,not_approved,unfunded,False,False
f02-small-sat-telescopes-on-ride-share-f2,2,2021,Small Sat Telescopes on ride share.,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,500000.0,,not_approved,unfunded,False,False
f02-solar-power-plants-development-f2,2,2021,Solar Power Plants development,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,2500000.0,,not_approved,unfunded,False,False
f02-streamlining-cardano-communication-f2,2,2021,Streamlining Cardano Communication,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,10000.0,,not_approved,unfunded,False,False
f02-support-cardanoscan-io-with-funds-f2,2,2021,Support Cardanoscan.io with Funds,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,900000.0,,not_approved,unfunded,False,False
f02-the-cardano-aura-podcast-f2,2,2021,The Cardano Aura Podcast,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,150000.0,,unknown,unfunded,False,False
f02-the-pyne-fund-f2,2,2021,THE PYNE FUND,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,35000.0,,not_approved,unfunded,False,False
f02-the-we-are-cardano-podcast-f2,2,2021,The We are Cardano Podcast,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,100000.0,,not_approved,unfunded,False,False
f02-torus-governance-for-open-source-f2,2,2021,Torus: Governance for Open-Source,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,150000.0,,not_approved,unfunded,False,False
f02-trusted-sponsorship-system-f2,2,2021,Trusted Sponsorship System,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,500000.0,,not_approved,unfunded,False,False
f02-understand-developers-feelings-f2,2,2021,Understand developers feelings,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,12500.0,,not_approved,unfunded,False,False
f02-wallet-lottery-to-increase-fin-id-f2,2,2021,Wallet lottery to increase Fin. ID,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,400000.0,,not_approved,unfunded,False,False
f02-wbp-world-s-best-publisher-f2,2,2021,WBP - World's Best Publisher,Fund2 Challenge,P4,Community & Ecosystem Growth,education-and-talent,medium,proposal-text,USD,280000.0,,not_approved,unfunded,False,False
f02-weblinks-to-stakepools-portfolios-f2,2,2021,Weblinks to Stakepools & Portfolios,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,60000.0,,not_approved,unfunded,False,False
f02-west-africa-decentralized-alliance-f2,2,2021,West Africa Decentralized Alliance,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,297825.0,,unknown,unfunded,False,False
f02-wethinkitmatters-dapp-development-f2,2,2021,WeThinkItMatters Dapp Development,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,160000.0,,not_approved,unfunded,False,False
f02-whi-world-mmorpg-f2,2,2021,Whi World MMORPG,Fund2 Challenge,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,94999.0,,not_approved,unfunded,False,False
f03-abcd-f3,3,2021,ABCD,F3: Developer Ecosystem,P2,Adoption & Utility,products-and-developer-experience,high,challenge,USD,13800.0,13800.0,approved,complete,True,True
f03-ada-in-4000-crypto-atms-globally-f3,3,2021,ADA in 4000 Crypto ATMs Globally!,F3: Developer Ecosystem,P2,Adoption & Utility,products-and-developer-experience,high,challenge,USD,7500.0,,over_budget,unfunded,False,False
f03-ada-makerspace-dev-lessons-f3,3,2021,ADA MakerSpace - DEV lessons,F3: Developer Ecosystem,P2,Adoption & Utility,products-and-developer-experience,high,challenge,USD,14800.0,14800.0,approved,complete,True,True
f03-ada-tx-to-trigger-iot-io-hw-spins-f3,3,2021,"Ada Tx to Trigger IoT + IO HW Spins


",F3: DApp Creation,P2,Adoption & Utility,products-and-developer-experience,high,challenge,USD,33000.0,33000.0,approved,complete,True,True
f03-adapools-kit-for-developers-apis-f3,3,2021,"ADApools kit for developers, APIs",F3: Developer Ecosystem,P2,Adoption & Utility,products-and-developer-experience,high,challenge,USD,40000.0,,over_budget,unfunded,False,False
f03-adding-cardano-to-top-game-dapp-f3,3,2021,"Adding Cardano to TOP Game Dapp


",F3: DApp Creation,P2,Adoption & Utility,products-and-developer-experience,high,challenge,USD,10000.0,,over_budget,unfunded,False,False
f03-african-digital-identity-platform-f3,3,2021,"African Digital Identity Platform


",F3: DApp Creation,P2,Adoption & Utility,products-and-developer-experience,high,challenge,USD,15000.0,,over_budget,unfunded,False,False
f03-aregato-ada-ebook-marketplace-f3,3,2021,"Aregato - ADA ebook marketplace


",F3: DApp Creation,P2,Adoption & Utility,products-and-developer-experience,high,challenge,USD,7999.0,,not_approved,unfunded,False,False
f03-army-of-spies-a-market-for-secrets-f3,3,2021,"Army of Spies-A Market for Secrets


",F3: DApp Creation,P2,Adoption & Utility,products-and-developer-experience,high,challenge,USD,25000.0,,not_approved,unfunded,False,False
f03-artano-a-cardano-nft-marketplace-f3,3,2021,"Artano - A Cardano NFT Marketplace


",F3: DApp Creation,P2,Adoption & Utility,products-and-developer-experience,high,challenge,USD,30000.0,,over_budget,unfunded,False,False
